id,title,statement,inputSpec,outputSpec,constraints,tags,isSample,input,expectedOutput
b001,Two Sum,"Given an integer array nums and an integer target, return indices i and j such that nums[i] + nums[j] == target. There is exactly one valid pair and you may not use the same element twice. Indices are 0-based; output as 'i j' with i < j. Duplicates may exist. Prefer O(n) using a hash map; sorting-based solutions are acceptable if they return original indices.","First line N, second line N space-separated integers, third line target","Two indices i j (0-based)","1 <= N <= 1e5","array,hashmap",true,"4\n2 5 7 11\n9","0 2\n"
b002,Best Time to Buy and Sell Stock,"Given an array prices where prices[i] is the price on day i, compute the maximum profit from a single transaction (buy once and sell later). If no profit is possible, return 0. Use O(n) time and O(1) space by tracking the minimum seen so far and the best profit.","First line N, second line N space-separated prices","Max profit (integer)","1 <= N <= 1e5","array,greedy",true,"6\n7 1 5 3 6 4","5\n"
b003,Contains Duplicate,"Given an integer array nums, return true if any value appears at least twice (i.e., there exists i != j such that nums[i] == nums[j]), otherwise false. Aim for O(n) expected time using a hash set; sorting to O(n log n) is acceptable.","First line N, second line N space-separated integers","true/false","1 <= N <= 1e5","array,hashset",true,"5\n1 2 3 1 5","true\n"
b004,Product of Array Except Self,"For an array nums, return output where output[i] is the product of all elements except nums[i] without using division. Achieve O(n) time and O(1) extra space (excluding the returned array) via prefix and suffix products. Handle zeros correctly (multiple zeros yield all zeros).","First line N, second line N space-separated integers","N space-separated integers","1 <= N <= 1e5","array,prefix-suffix",true,"4\n1 2 3 4","24 12 8 6\n"
b005,Maximum Subarray,"Return the maximum sum of any contiguous subarray of nums. Implement Kadane’s algorithm in O(n) time, tracking the current best ending here and the global best. The array may contain negative values.","First line N, second line N space-separated integers","Maximum sum (integer)","1 <= N <= 1e5","array,dp,kadane",true,"9\n-2 1 -3 4 -1 2 1 -5 4","6\n"
b006,Maximum Product Subarray,"Return the maximum product of a contiguous subarray. Because negatives can flip sign, track both the maximum and minimum products ending at each index and update answers accordingly. Solve in O(n) time.","First line N, second line N space-separated integers","Maximum product (integer)","1 <= N <= 1e5","array,dp",true,"4\n2 3 -2 4","6\n"
b007,Find Minimum in Rotated Sorted Array,"Given an ascending sorted array that was rotated at an unknown pivot (no duplicates), find and return the minimum element. Use binary search in O(log n) time by comparing mid with boundaries.","First line N, second line N space-separated integers","Minimum value (integer)","1 <= N <= 1e5","array,binary-search",true,"7\n4 5 6 7 0 1 2","0\n"
b008,Search in Rotated Sorted Array,"Search for target in a rotated strictly-increasing array without duplicates and return its index, or -1 if not found. Use modified binary search in O(log n) to determine which half is ordered.","First line N, second line N space-separated integers, third line target","Index (integer)","1 <= N <= 1e5","array,binary-search",true,"7\n4 5 6 7 0 1 2\n0","4\n"
b009,3Sum,"Given an integer array nums, find triplets (i,j,k) such that nums[i]+nums[j]+nums[k]==0 with i<j<k and no duplicate triplets. For this simplified output, return a single triplet sorted ascending if at least one exists; otherwise return empty. Use sorting and two-pointer technique in O(n^2).","First line N, second line N space-separated integers","Triplet as three space-separated integers sorted asc, or empty if none","1 <= N <= 1e5","array,two-pointers,sorting",true,"6\n-1 0 1 2 -1 -4","-1 0 1\n"
b010,Container With Most Water,"Given an array heights where heights[i] is the height at position i, pick two lines to form a container that holds the most water. Return the maximum area. Use two-pointer approach moving the shorter side inward to achieve O(n) time.","First line N, second line N space-separated integers","Max area (integer)","1 <= N <= 1e5","array,two-pointers",true,"9\n1 8 6 2 5 4 8 3 7","49\n"
b011,Sum of Two Integers,"Compute the sum of two integers a and b without using the + or - operators by applying bitwise operations (XOR for sum without carry, AND and shift for carry). For testing here, any correct method is accepted.","First line two space-separated integers","Sum (integer)","-1e9 <= a,b <= 1e9","bit-manipulation",true,"2 3","5\n"
b012,Number of 1 Bits,"Given a non-negative integer n, return the number of set bits (1s) in its binary representation (also known as Hamming weight). Consider using n &= (n - 1) to count efficiently.","One integer","Count (integer)","0 <= n <= 2^31-1","bit-manipulation",true,"11","3\n"
b013,Counting Bits,"Given integer n, return an array ans of length n+1 where ans[i] is the number of 1 bits in i for 0 <= i <= n. Use DP relations: ans[i] = ans[i >> 1] + (i & 1) to achieve O(n) time.","One integer n","Space-separated counts from 0..n","0 <= n <= 1e5","bit-manipulation,dp",true,"5","0 1 1 2 1\n"
